edge,r,p,q
e32,0.18622395428804095,2.650528288978681e-07,6.696142306801543e-07
e33,0.1510758337337824,3.145390807881912e-05,5.288380962897098e-05
e34,0.1659366659743419,4.702295885804858e-06,9.13735847353937e-06
e35,0.18916841997500333,1.6987188247011167e-07,4.454995336261495e-07
e36,0.20866114431207874,7.467115895573092e-09,2.6836844197562677e-08
e37,0.22871868862617034,2.1507902068743543e-10,1.1689424207550318e-09
e38,0.19007066309397672,1.4801483836083025e-07,3.930995974083174e-07
e39,0.1772296999911297,9.878335379610473e-07,2.1934710338568222e-06
e40,0.14945216992482824,3.831264962927495e-05,6.349197996229617e-05
e41,0.12353848572681622,0.0006803171861110098,0.0009270276639009241
e42,0.22253789730370904,6.655579152430324e-10,3.1407641720029273e-09
e43,0.1982112209020445,4.1451604955510795e-08,1.247937879901157e-07
e44,0.2768741820105259,1.0195876495496107e-14,1.9931035585498283e-13
e45,0.20608822602062007,1.1483973212681155e-08,3.960677069884835e-08
e46,0.1356583584440874,0.0001887107387180586,0.0002795402486593246
e47,0.19483209498426246,7.077113820296457e-08,2.0159542660163113e-07
e48,0.19788566341574032,4.366173988908912e-08,1.3057839251470898e-07
e49,0.17314270785401037,1.7579161121938515e-06,3.7042069708447313e-06
e50,0.09013338158501168,0.013351061643249054,0.0157229332880019
e51,0.146338765242354,5.560946313890443e-05,8.966361339039037e-05
e52,0.1542368687098999,2.12989260336054e-05,3.692382856248345e-05
e53,0.18052955603406926,6.142517735602292e-07,1.4279918567580096e-06
e54,0.2759361245188803,1.2630281945925398e-14,2.396021074584513e-13
e55,0.16441206373199962,5.760175432427222e-06,1.1020814451043336e-05
e56,0.23377149062325944,8.335048098487259e-11,5.038501128793938e-10
e57,0.1541350272470411,2.1570739958636572e-05,3.737225536974297e-05
e58,0.14200649080686534,9.224390906337634e-05,0.0001429971013758035
e59,0.2525609611736769,2.0169795307936234e-12,1.937156981795034e-11
e60,0.1766532484864923,1.0723589866089847e-06,2.3653229697981374e-06
e61,0.1481839335647443,4.463173954322467e-05,7.3040429022218e-05
e62,0.14936691294538124,3.8709373770260644e-05,6.408090325498601e-05
e63,0.15816376258950254,1.2981802365442408e-05,2.3326218245806223e-05
e64,0.17533416389882128,1.2927019984164357e-06,2.8071551471504877e-06
e65,0.1532920758426314,2.3950572596229738e-05,4.1176362390062356e-05
e66,0.2018322283913093,2.3123822132181707e-08,7.393381433650642e-08
e67,0.2099234041644124,6.0333996053467476e-09,2.2217737258771334e-08
e68,0.20234047452514797,2.1286474989285148e-08,6.867718098034605e-08
e69,0.18150592563810902,5.328034317649037e-07,1.2568502005834026e-06
e70,0.15402127432111362,2.1878240875695708e-05,3.7865454289993445e-05
e71,0.1594317435095074,1.1035504279092288e-05,2.0095766394027867e-05
e72,0.17218237775497533,2.00898537828748e-06,4.175316354419599e-06
e73,0.20517874096230218,1.335359496460452e-08,4.514722048855418e-08
e74,0.21691758905132116,1.807045375496406e-09,7.628384168939006e-09
e75,0.2217383571727214,7.68437754748903e-10,3.571207687880236e-09
e76,0.09832333389649842,0.00693106749364411,0.008395924222274032
e77,0.1963848575007477,5.541280247152599e-08,1.615699295506765e-07
e78,0.18022818514891403,6.417240638180259e-07,1.4845743861867839e-06
e79,0.2682664603899398,7.052580405532827e-14,1.0705289860419775e-12
e80,0.2747049530904306,1.6707652199357415e-14,3.075691755478377e-13
e81,0.13046626981124354,0.00033130007857940376,0.0004724379479562977
e82,0.21465522314273555,2.6809801597842645e-09,1.0819611677085147e-08
e83,0.1478110193663099,4.666992741591303e-05,7.615050472094698e-05
e84,0.028912775406322002,0.4282215822356016,0.44344119719459185
e85,0.12474929473559772,0.0006014711021461831,0.0008251258053708151
e86,0.1504746407083384,3.3845234866823295e-05,5.664593556348053e-05
e87,0.20081082630882435,2.729214292104266e-08,8.573222480327529e-08
e88,0.14891339219408106,4.088597411553442e-05,6.738702044882682e-05
e89,0.19205280431540572,1.0911459704201392e-07,2.985125764553309e-07
e90,0.1492122057623886,3.943922567199991e-05,6.520234201817714e-05
e91,0.11736845164770074,0.0012531564462812874,0.0016516201921317716
e92,0.18795218406774006,2.0431463744296196e-07,5.276227984836417e-07
e93,0.2421479541071972,1.6486164404819893e-11,1.2119492857625263e-10
e94,0.11281190158755078,0.0019325064988031787,0.002493314271666446
e95,0.20630323139839907,1.1080581614227807e-08,3.8395189643589296e-08
e96,0.12274815433201437,0.0007368441354227001,0.000999740798725829
e97,0.2680422050133993,7.41023205881317e-14,1.1205442095013834e-12
e98,0.04425216155226267,0.22517051005029984,0.23778885321592905
e99,0.10606842789361604,0.0035683457579953324,0.004462394305543085
e100,0.05179376407920247,0.15564942968231096,0.16651920061706296
e101,0.17522142404952418,1.3134298789626328e-06,2.8465753203394025e-06
e102,0.19455614791107198,7.39005411195789e-08,2.0960957358603477e-07
e103,0.1627158322134797,7.2036077303013e-06,1.3548038354881001e-05
e104,0.22322346292364018,5.88128713573205e-10,2.815434544168097e-09
e105,0.1911717012778624,1.250026534044323e-07,3.3789089958546626e-07
e106,0.23672123238184176,4.743673158814513e-11,3.0461147421880867e-10
e107,0.2032093014383146,1.8468137554081664e-08,6.050641049164062e-08
e108,0.09120548835039549,0.012286117148823841,0.014524928500525149
e109,0.1061214888068889,0.0035516243292112895,0.004442600047225134
e110,0.13279327205568525,0.0002580851137865872,0.00037425444613809557
e111,0.16181769701125706,8.101664398339685e-06,1.5097211492364428e-05
e112,0.17035494950863594,2.584800356148975e-06,5.267000520926132e-06
e113,0.1670383452676202,4.056351718235563e-06,7.97405899366667e-06
e114,0.1912216284520951,1.2404558928606814e-07,3.354053398835546e-07
e115,0.2329173115640719,9.79896264881747e-11,5.812201392294118e-10
e116,0.20767003811019003,8.8195756019789e-09,3.121834835990397e-08
e117,0.18365146784676575,3.8872057388036885e-07,9.457805868956279e-07
e118,0.24421484331994092,1.0948124151611e-11,8.553893624540985e-11
e119,0.16993361621709532,2.738412289839865e-06,5.548198388089321e-06
e120,0.12976805919355697,0.0003567963546096167,0.0005067985336710474
e121,0.16845985745813274,3.3474668276275034e-06,6.680163444623678e-06
e122,0.09888192224077355,0.006616509055266733,0.008030954520349725
e123,0.23996066403420577,2.5320566078264782e-11,1.7679974209034006e-10
e124,0.17430319087656435,1.4945500691059078e-06,3.1956104410881664e-06
e125,0.21033547954727203,5.626125841659589e-09,2.090364157001976e-08
e126,0.19899724625978585,3.6552480969090636e-08,1.115122445630697e-07
e127,0.10776038243744374,0.0030689191680569033,0.003866752655713079
e128,0.1265060077467134,0.0005020622372718499,0.0006968709298814127
e129,0.09448662905941105,0.009478603977431953,0.01132470095766666
e130,0.07267581957031274,0.046194730635139264,0.05165918177236703
