edge,r,p,q
e79,0.30145605881381476,2.7681384064968063e-17,3.6408429801246826e-16
e80,0.3056574196513184,9.509438186969323e-18,1.4017616290421447e-16
e81,0.19229099792024615,1.0516613921860353e-07,2.0673774280847675e-07
e82,0.23699020039287733,4.504322658890625e-11,1.5465151986184166e-10
e83,0.20165722435233888,2.379133217859609e-08,5.1742897306454885e-08
e84,0.03565259274863998,0.32855796131454656,0.34028257738372836
e85,0.15768878945333814,1.3791756016990346e-05,2.0509336776125236e-05
e86,0.20792764179427997,8.446785778441507e-09,1.968048671010256e-08
e87,0.2774752243248336,8.884968491252554e-15,6.565572706124242e-14
e88,0.1929217572720075,9.536539038916888e-08,1.886931346055373e-07
e89,0.22161912284532648,7.850501615911861e-10,2.1685866484820384e-09
e90,0.1894003375795026,1.639734286599981e-07,3.1451288967074334e-07
e91,0.1576573793509232,1.3846980566054863e-05,2.0586844472505923e-05
e92,0.20690930618194797,1.0016044614344481e-08,2.3090742333810842e-08
e93,0.28541867458098147,1.3959342215875832e-15,1.221595910712089e-14
e94,0.16279230425406668,7.13169730292131e-06,1.0946454016824843e-05
e95,0.24839279501993008,4.7310781748099446e-12,1.9520724793431038e-11
e96,0.1665938590384661,4.306034731767224e-06,6.795946638287553e-06
e97,0.3057611751045803,9.259756324555005e-18,1.366981831295583e-16
e98,0.11444041284593648,0.001658235221835172,0.0019940105694918075
e99,0.152315705326033,2.7018557693316574e-05,3.8797814546195455e-05
e100,0.15216379045088022,2.7528213338461885e-05,3.9490444451801585e-05
e101,0.23153859029682972,1.2706460576651285e-10,4.031546005665825e-10
e102,0.24485099248797237,9.644777584424999e-12,3.761879144062279e-11
e103,0.21385966792189753,3.0767547949968403e-09,7.681272164149683e-09
e104,0.24815305146968886,4.9665133345226005e-12,2.0394885546223637e-11
e105,0.24916029728008363,4.048455059931798e-12,1.691815533234834e-11
e106,0.30870387873348143,4.334502360395573e-18,6.962509740870655e-17
e107,0.22871800796075514,2.1510616758962084e-10,6.557311174989974e-10
e108,0.14387509331543158,7.428505610375163e-05,0.00010156459061935126
e109,0.1352969971948207,0.0001963783061777274,0.0002577449078575897
e110,0.15853618138448924,1.2378622251157819e-05,1.8496364529061468e-05
e111,0.19576682024750428,6.10944349952873e-08,1.245420258559944e-07
e112,0.21498519084063764,2.531762143644476e-09,6.424645072497459e-09
e113,0.19426066058320207,7.739976567036489e-08,1.5536164382088574e-07
e114,0.24016903323874436,2.431081251113035e-11,8.784913182703722e-11
e115,0.2841660482594512,1.876458012577576e-15,1.5978397282966947e-14
e116,0.28198580134383466,3.1290397417087797e-15,2.5509172822615614e-14
e117,0.23328159694724107,9.146282365915743e-11,2.973550385259325e-10
e118,0.2867482602794421,1.018095413195738e-15,9.280851453318912e-15
e119,0.185494289765805,2.9562400035938105e-07,5.461811908970089e-07
e120,0.14810919080941665,4.503337634436471e-05,6.310126667038851e-05
e121,0.2160122252340313,2.117172535365608e-09,5.454652182000983e-09
e122,0.12080773455724649,0.0008946051772324554,0.0011009674104468683
e123,0.28643839223173073,1.0959742849362357e-15,9.886622062661418e-15
e124,0.25164387534226856,2.436383914815226e-12,1.068165673161996e-11
e125,0.24349313126782718,1.2635802609963831e-11,4.814241736877664e-11
e126,0.2597433461084282,4.4748057640381997e-13,2.2809588807469308e-12
e127,0.17343522499023262,1.6876195548083823e-06,2.8110512380251785e-06
e128,0.11558543046215793,0.0014873152720175505,0.0017968415440231457
e129,0.18494578505912926,3.2081416037033506e-07,5.897182739122337e-07
e130,0.08797099475945076,0.0157494309984134,0.017643192798267655
e131,0.1937682783846228,8.358931220794688e-08,1.6682652822566874e-07
e132,0.1863553197751824,2.5988281696683334e-07,4.834238229239095e-07
e133,0.19843392271743063,4.000251075768696e-08,8.392724977100374e-08
e134,0.16724414445113253,3.945494665546971e-06,6.249231442564845e-06
